DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-14,EQ,6563.85,6656,6550,6603.65,6649,6646.5,6609.19,8192,5485.7,636126,4204276744.15,82851,BAJFINANCE
2024-02-13,EQ,6600,6639,6553.1,6569.15,6600.05,6603.65,6608.1,8192,5485.7,948014,6264570312.95,108021,BAJFINANCE
2024-02-12,EQ,6669.45,6671.85,6551.5,6654.5,6576.35,6569.15,6585.14,8192,5485.7,544784,3587477652.55,64051,BAJFINANCE
2024-02-09,EQ,6580,6677.7,6572,6575.65,6654,6654.5,6644.98,8192,5485.7,1209874,8039594330.35,124188,BAJFINANCE
2024-02-08,EQ,6731.85,6737.5,6536.7,6709.2,6585,6575.65,6606.32,8192,5485.7,2193209,14489039760.25,213093,BAJFINANCE
2024-02-07,EQ,6641,6737.6,6625.25,6598.15,6720,6709.2,6682.88,8192,5485.7,1538237,10279856230.4,152771,BAJFINANCE
2024-02-06,EQ,6648,6699,6535,6608.2,6599,6598.15,6604.06,8192,5485.7,2439533,16110820931.5,232133,BAJFINANCE
2024-02-05,EQ,6894,6895,6600,6848.3,6626.75,6608.2,6723.86,8192,5485.7,1771222,11909445509.05,197786,BAJFINANCE
2024-02-02,EQ,6755,6910,6753,6743.3,6877.9,6848.3,6844.03,8192,5485.7,1367508,9359269260.15,206629,BAJFINANCE
2024-02-01,EQ,6865.9,6879.95,6733,6862.9,6746,6743.3,6784.09,8192,5485.7,1911137,12965321707.7,231144,BAJFINANCE
2024-01-31,EQ,6820,6921,6812,6817.2,6865.9,6862.9,6877.07,8192,5485.7,1810512,12451015692.6,172859,BAJFINANCE
2024-01-30,EQ,6988.5,6988.5,6805,7191.65,6825,6817.2,6869.72,8192,5485.7,4153147,28530952745.75,396405,BAJFINANCE
2024-01-29,EQ,7085.5,7224.95,7085.1,7085.5,7200,7191.65,7163.15,8192,5485.7,1860361,13326042623.25,114690,BAJFINANCE
2024-01-25,EQ,7055.3,7125.8,7036,7055.3,7091,7085.5,7075.3,8192,5485.7,1168349,8266415862.5,102634,BAJFINANCE
2024-01-24,EQ,7104,7104,6996.8,7070.7,7080,7055.3,7049.02,8192,5485.7,2063675,14546893452.55,122779,BAJFINANCE
2024-01-23,EQ,7352.9,7355,7042.6,7301.3,7083,7070.7,7180.32,8192,5485.7,2533297,18189871066.15,204647,BAJFINANCE
