DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-14,EQ,6330.05,6339.95,6170.1,6335.35,6253,6258.35,6227.27,6409.85,4297,344869,2147593856.15,53071,DRREDDY
2024-02-13,EQ,6350,6409.85,6311.05,6333.5,6325,6335.35,6358.76,6409.85,4297,417335,2653734427.35,50707,DRREDDY
2024-02-12,EQ,6234.3,6388.45,6230,6155.85,6321,6333.5,6316.34,6388.45,4297,859292,5427582545.55,108448,DRREDDY
2024-02-09,EQ,6140,6205.2,6104.2,6160.05,6134,6155.85,6152.67,6219.95,4285,247794,1524595870.8,36275,DRREDDY
2024-02-08,EQ,6218,6219.95,6125,6179.75,6180,6160.05,6163.55,6219.95,4285,358241,2208034985.1,84259,DRREDDY
2024-02-07,EQ,6166,6190,6130.6,6166.6,6171.6,6179.75,6164.06,6190,4285,590655,3640833907.35,52906,DRREDDY
2024-02-06,EQ,6085,6190,6083.75,6094.45,6164,6166.6,6167.3,6190,4285,517413,3191039273.75,81009,DRREDDY
2024-02-05,EQ,6039,6138,5991.1,6039.5,6083.75,6094.45,6097.76,6149.4,4285,425297,2593356943.75,49708,DRREDDY
2024-02-02,EQ,6015.95,6074.7,5996.05,5993.15,6040,6039.5,6040.2,6149.4,4284.95,337246,2037032983.05,48768,DRREDDY
2024-02-01,EQ,6089.45,6149.4,5950.1,6121.15,5990,5993.15,6034.69,6149.4,4284.95,622511,3756658225.15,91418,DRREDDY
2024-01-31,EQ,5825.05,6137.5,5807.05,5840.95,6120,6121.15,6042.64,6137.5,4284.95,1571485,9495924734.3,167288,DRREDDY
2024-01-30,EQ,5898.95,5949,5831,5843.7,5835,5840.95,5878.42,5989.7,4284.95,315317,1853566576.3,44808,DRREDDY
2024-01-29,EQ,5800,5892.6,5740.2,5855.5,5884.95,5843.7,5797.8,5989.7,4284.95,301914,1750437081.85,44739,DRREDDY
2024-01-25,EQ,5902.1,5925,5822,5902.1,5832.7,5855.5,5880.23,5989.7,4175.1,535502,3148875067.85,80503,DRREDDY
2024-01-24,EQ,5707.95,5915,5693,5674.4,5891,5902.1,5847.52,5989.7,4175.1,1048852,6133179934.1,107973,DRREDDY
2024-01-23,EQ,5651.9,5754,5640.95,5635.4,5682,5674.4,5691.38,5989.7,4175.1,465989,2652121949.45,67646,DRREDDY
2024-01-20,EQ,5698.2,5700,5630,5668.2,5638,5635.4,5652.01,5989.7,4175.1,67138,379464733.6,12881,DRREDDY
2024-01-19,EQ,5675.1,5714.95,5611.85,5649.95,5680,5668.2,5657.92,5989.7,4175.1,328292,1857449814.65,41302,DRREDDY
2024-01-18,EQ,5647.45,5668.3,5520.65,5649.95,5646,5649.95,5616.71,5989.7,4175.1,345527,1940723329.3,60353,DRREDDY
2024-01-17,EQ,5740,5740,5627,5758.15,5638.2,5649.95,5673.11,5989.7,4175.1,355792,2018448881.25,45857,DRREDDY
2024-01-16,EQ,5790,5790,5706.05,5783.25,5759.15,5758.15,5748.68,5989.7,4175.1,228429,1313165823.55,27697,DRREDDY
2024-01-15,EQ,5737.95,5799,5702,5688.85,5784,5783.25,5770.42,5989.7,4175.1,333122,1922255435.15,61112,DRREDDY
2024-01-12,EQ,5734.85,5734.85,5646.05,5692.45,5692,5688.85,5678.42,5989.7,4175.1,277142,1573727678.2,42995,DRREDDY
