DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-14,EQ,4707,4825,4661.1,4744.8,4825,4814.05,4758.62,4949.05,2246,735284,3498935788.7,59679,HEROMOTOCO
2024-02-13,EQ,4728,4829.85,4706.3,4687.5,4748,4744.8,4767.6,4949.05,2246,938269,4473287388.35,95106,HEROMOTOCO
2024-02-12,EQ,4949.05,4949.05,4627.55,4908.85,4699.05,4687.5,4717.77,4949.05,2246,1321957,6236686003.15,118310,HEROMOTOCO
2024-02-09,EQ,4840,4924,4792.1,4807.9,4905,4908.85,4859.75,4924,2246,718094,3489754763,63301,HEROMOTOCO
2024-02-08,EQ,4795.95,4824.7,4764.4,4793.35,4810,4807.9,4801.58,4824.7,2246,444060,2132187447.65,64977,HEROMOTOCO
2024-02-07,EQ,4790,4817.25,4730.15,4783.45,4795,4793.35,4780.41,4817.25,2246,265821,1270734391.8,39731,HEROMOTOCO
2024-02-06,EQ,4746.55,4792,4733,4746.65,4790,4783.45,4765.79,4792,2246,261001,1243875224.65,29185,HEROMOTOCO
2024-02-05,EQ,4720,4774.35,4700,4717.3,4734.75,4746.65,4746.91,4774.35,2246,425966,2022024242.35,40945,HEROMOTOCO
2024-02-02,EQ,4598,4769.3,4590.05,4586.7,4709,4717.3,4721.65,4769.3,2246,994506,4695706845.9,91543,HEROMOTOCO
2024-02-01,EQ,4621.7,4717.85,4575,4621.55,4585,4586.7,4630.29,4717.85,2246,660378,3057739566.25,75618,HEROMOTOCO
2024-01-31,EQ,4567.5,4636.9,4518.15,4588.35,4620,4621.55,4599.21,4662,2246,645505,2968811880.4,54234,HEROMOTOCO
2024-01-30,EQ,4627,4662,4580.05,4593.5,4585,4588.35,4626.08,4662,2246,709726,3283247052,46863,HEROMOTOCO
2024-01-29,EQ,4448,4625,4426.35,4442.15,4600,4593.5,4534.04,4625,2246,418127,1895804079.55,47221,HEROMOTOCO
2024-01-25,EQ,4448.85,4480.05,4378.5,4433.65,4424.5,4442.15,4432.31,4560,2246,664356,2944631430.85,92995,HEROMOTOCO
2024-01-24,EQ,4429,4453.6,4310.9,4444.2,4418.4,4433.65,4370.76,4560,2246,596736,2608187021.4,78875,HEROMOTOCO
2024-01-23,EQ,4401.65,4560,4401.65,4401.65,4432.85,4444.2,4496.38,4560,2246,1399043,6290624983.75,122553,HEROMOTOCO
2024-01-20,EQ,4410,4425.7,4385,4399.75,4405,4401.65,4406.51,4450,2246,111872,492965099.5,14193,HEROMOTOCO
2024-01-19,EQ,4395,4440.85,4374,4394,4395,4399.75,4400.36,4450,2246,383901,1689301624.65,42202,HEROMOTOCO
2024-01-18,EQ,4334,4411.65,4296.9,4370.85,4399.35,4394,4375.65,4450,2246,570816,2497689506.9,57969,HEROMOTOCO
2024-01-17,EQ,4346,4430,4341,4384.65,4370.5,4370.85,4391.9,4450,2246,443836,1949281880.15,53446,HEROMOTOCO
2024-01-16,EQ,4340.1,4450,4340.1,4372.4,4387,4384.65,4409.92,4450,2246,972808,4290005363.7,75882,HEROMOTOCO
2024-01-15,EQ,4383.15,4413.55,4337.15,4383.15,4373,4372.4,4370.46,4413.55,2246,490217,2142473190.4,51912,HEROMOTOCO
2024-01-12,EQ,4242.65,4395,4242.65,4342.2,4369,4383.15,4349.04,4395,2246,905401,3937624747.4,63414,HEROMOTOCO
