DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-14,EQ,1009.55,1035.7,1007.55,1019.8,1020.5,1022.7,1023.3,1059.4,810.3,17878720,18295210771.65,333327,ICICIBANK
2024-02-13,EQ,1006,1027.05,1000.3,996.1,1018.55,1019.8,1016,1059.4,810.3,18706292,19005585172.8,294962,ICICIBANK
2024-02-12,EQ,1010.4,1012.2,985.25,1010.7,994.1,996.1,996.95,1059.4,810.3,8050066,8025492595.25,231523,ICICIBANK
2024-02-09,EQ,988.85,1013.75,985.5,989.3,1010.95,1010.7,1005.08,1059.4,810.3,12799837,12864802516.9,307855,ICICIBANK
2024-02-08,EQ,1024.1,1028.25,985.25,1022.15,991.9,989.3,1003.64,1059.4,810.3,20565502,20640320782.2,332222,ICICIBANK
2024-02-07,EQ,1028,1031.55,1013,1026.4,1022.85,1022.15,1020.41,1059.4,810.3,16410895,16745900269.85,302775,ICICIBANK
2024-02-06,EQ,1023.55,1034.9,1016.7,1023.5,1027.75,1026.4,1027.06,1059.4,810.3,12886927,13235660038.15,203228,ICICIBANK
2024-02-05,EQ,1022.5,1026.45,1012.1,1024,1021.5,1023.5,1020.49,1059.4,810.3,12948430,13213806903,252161,ICICIBANK
2024-02-02,EQ,1037.1,1050,1021.65,1025.15,1023.5,1024,1037.09,1059.4,796,14774650,15322579057,298259,ICICIBANK
2024-02-01,EQ,1033.95,1033.95,1017.4,1028.15,1024.7,1025.15,1025.68,1059.4,796,13058880,13394253293.6,240963,ICICIBANK
2024-01-31,EQ,1016.8,1039,1003.25,1016.9,1024.7,1028.15,1027.23,1059.4,796,25627447,26325196239.65,384552,ICICIBANK
2024-01-30,EQ,1014.95,1023.85,1008,1016.4,1014.9,1016.9,1015.16,1059.4,796,16085742,16329641195.2,272053,ICICIBANK
2024-01-29,EQ,1020,1032,1010,1009.95,1018.15,1016.4,1020.75,1059.4,796,14078922,14371068911.45,288152,ICICIBANK
2024-01-25,EQ,998.4,1015.1,988.15,999.2,1009,1009.95,1002.34,1059.4,796,28315035,28381251257,342997,ICICIBANK
2024-01-24,EQ,1029.45,1035.95,996.65,1029.05,998.3,999.2,1006,1059.4,796,34578943,34786249969.95,341150,ICICIBANK
2024-01-23,EQ,1059.1,1059.4,1021.2,1008.7,1027.9,1029.05,1035.82,1059.4,796,50797448,52616782751.05,669065,ICICIBANK
2024-01-20,EQ,1005.95,1014.7,995.3,999.2,1011.5,1008.7,1005.17,1043.7,796,8788873,8834323616.8,172248,ICICIBANK
2024-01-19,EQ,991.3,1010.9,987.55,986.35,1000,999.2,1002.64,1043.7,796,23271148,23332513523.6,373845,ICICIBANK
2024-01-18,EQ,973.95,994.3,970.15,981.75,987.5,986.35,984.56,1043.7,796,17902484,17626126346.95,405442,ICICIBANK
2024-01-17,EQ,987.9,1007.8,976.75,1009.05,979.5,981.75,989.71,1043.7,796,41914771,41483325173.95,580135,ICICIBANK
2024-01-16,EQ,1006.1,1015.8,1004.6,1009.85,1007.65,1009.05,1010.56,1043.7,796,11505126,11626570821.35,286201,ICICIBANK
2024-01-15,EQ,1003.5,1011.65,999.25,1003.5,1010,1009.85,1007.04,1043.7,796,12388044,12475200079.75,339028,ICICIBANK
2024-01-12,EQ,994.8,1008.7,991.75,991.15,1001.95,1003.5,1002.83,1043.7,796,12255743,12290375605.85,255004,ICICIBANK
2024-01-11,EQ,995.3,998.5,986.85,993.05,990.4,991.15,991.28,1043.7,796,6451345,6395101765.1,205605,ICICIBANK
2024-01-10,EQ,974.3,994.95,974.3,979.75,992.5,993.05,989.28,1043.7,796,9409181,9308354597.1,183064,ICICIBANK
2024-01-09,EQ,986.25,995,975.4,982,978,979.75,984.62,1043.7,796,14660414,14434925887.7,202344,ICICIBANK
2024-01-08,EQ,994,998.2,980.3,993.7,983,982,989.45,1043.7,796,8393164,8304657336.65,196576,ICICIBANK
2024-01-05,EQ,988,998.3,983.8,987.15,992.55,993.7,990.9,1043.7,796,14875499,14740093870.25,312189,ICICIBANK
2024-01-04,EQ,986.4,989.15,981.9,984.05,988.65,987.15,985.6,1043.7,796,22789140,22461089129.1,309334,ICICIBANK
2024-01-03,EQ,984.7,988,975.1,982.25,986.35,984.05,982.04,1043.7,796,16826752,16524592371.55,288368,ICICIBANK
2024-01-02,EQ,997,997.65,980.25,999.4,982.2,982.25,986.5,1043.7,796,16263825,16044246136.2,299393,ICICIBANK
2024-01-01,EQ,991.55,1004.85,991,996.6,994,999.4,999.54,1043.7,796,7683792,7680242979.25,179252,ICICIBANK
2023-12-29,EQ,1004.05,1008.55,993.7,1005.9,998.4,996.6,997.94,1043.7,796,12280140,12254823841.85,261570,ICICIBANK
2023-12-28,EQ,1008,1011.7,999.1,1002.25,1005.55,1005.9,1004.75,1043.7,796,24915990,25034418852.1,332414,ICICIBANK
2023-12-27,EQ,997.95,1004.9,992,995.1,1003.3,1002.25,999.11,1043.7,796,12996468,12984956515.15,258434,ICICIBANK
2023-12-26,EQ,994.9,997.5,989.9,994.3,995.75,995.1,993.91,1043.7,796,14339699,14252368734.05,431341,ICICIBANK
2023-12-22,EQ,1002.95,1009.55,991.6,1004.4,994.75,994.3,999.72,1043.7,796,20881976,20876052963.25,459822,ICICIBANK
2023-12-21,EQ,996.55,1010.9,989.2,1006.65,1004.7,1004.4,998.76,1043.7,796,18064916,18042561316.1,284015,ICICIBANK
2023-12-20,EQ,1022,1022,1002,1015.45,1003.9,1006.65,1010.88,1043.7,796,16490281,16669747974.95,314770,ICICIBANK
2023-12-19,EQ,1025.5,1025.5,1012.6,1021.45,1014,1015.45,1017.14,1043.7,796,10094256,10267241982.35,273477,ICICIBANK
2023-12-18,EQ,1029.95,1029.95,1018,1037.4,1024.95,1021.45,1022.18,1043.7,796,8592711,8783339398.05,323894,ICICIBANK
2023-12-15,EQ,1043.65,1043.7,1025.7,1033.65,1034.1,1037.4,1034.57,1043.7,796,14306067,14800627972.5,247584,ICICIBANK
2023-12-14,EQ,1022.25,1040,1021.25,1013.9,1034.05,1033.65,1033.94,1040,796,16317672,16871539889.3,316845,ICICIBANK
2023-12-13,EQ,1014.8,1020.7,1009.2,1015.7,1013.3,1013.9,1013.53,1021,796,15887040,16101952737,267603,ICICIBANK
2023-12-12,EQ,1017.1,1021,1008.6,1017.1,1014,1015.7,1014.31,1021,796,12380856,12558035033.4,274254,ICICIBANK
2023-12-11,EQ,1007.1,1020,1004.65,1010.85,1015.35,1017.1,1015.52,1020,796,11714606,11896421687.6,328196,ICICIBANK
2023-12-08,EQ,994.5,1012.85,993.25,999,1011.5,1010.85,1004.16,1016.25,796,16116363,16183373034.15,252795,ICICIBANK
2023-12-07,EQ,996.35,1002.2,988.15,1003.25,996.95,999,997.02,1016.25,796,11841945,11806639948.45,234487,ICICIBANK
2023-12-06,EQ,1014,1016.25,1000.25,1013.45,1002.7,1003.25,1004.35,1016.25,796,18786590,18868401905.05,310120,ICICIBANK
2023-12-05,EQ,1002.5,1015.75,995.05,991.2,1011,1013.45,1008.77,1015.75,796,31378461,31653782357.9,447529,ICICIBANK
2023-12-04,EQ,963.7,994.85,961.4,946.7,991,991.2,977,1008.7,796,33131257,32369280671.9,451348,ICICIBANK
2023-12-01,EQ,935.95,952,933,934.95,947.5,946.7,945.05,1008.7,796,16986046,16052598307.45,303858,ICICIBANK
2023-11-30,EQ,938.95,940.85,928.2,939.6,935.1,934.95,934.14,1008.7,796,23950292,22372841520.7,350540,ICICIBANK
2023-11-29,EQ,930.9,941.1,926,925.5,940.25,939.6,932.37,1008.7,796,11680078,10890142789.3,243844,ICICIBANK
2023-11-28,EQ,928.9,931.05,921.7,929.4,930.1,925.5,925,1008.7,796,14231987,13164522353.65,331592,ICICIBANK
2023-11-24,EQ,921.5,930.4,920.2,923,929,929.4,925.03,1008.7,796,7452002,6893360153.95,164564,ICICIBANK
2023-11-23,EQ,923,925.35,918.5,922.75,923.05,923,921.82,1008.7,796,5534614,5101943695.1,154622,ICICIBANK
2023-11-22,EQ,923.25,925.2,914.75,926.1,923.2,922.75,920.02,1008.7,796,12197979,11222427797.35,231742,ICICIBANK
2023-11-21,EQ,924.4,928.05,922,921.45,927.45,926.1,924.98,1008.7,796,8989572,8315132428,255397,ICICIBANK
2023-11-20,EQ,922,926.75,917.5,921.85,920.95,921.45,922.71,1008.7,796,10562301,9745970504.05,217769,ICICIBANK
2023-11-17,EQ,926.55,938.4,920.15,936,920.8,921.85,927.68,1008.7,796,10956653,10164255599.15,264468,ICICIBANK
2023-11-16,EQ,939,946.2,934,941.1,935,936,939.28,1008.7,796,19706373,18509828840.85,287113,ICICIBANK
2023-11-15,EQ,944.4,944.4,938.75,934.45,942,941.1,941.23,1008.7,796,19492138,18346502448.5,291251,ICICIBANK
2023-11-13,EQ,940.9,940.9,932,942.35,934.1,934.45,934.34,1008.7,796,11470096,10717018281.95,249856,ICICIBANK
2023-11-12,EQ,942,943.2,939.6,938.6,942.15,942.35,941.88,1008.7,796,1561479,1470722401.4,34082,ICICIBANK
2023-11-10,EQ,934.9,941.45,932.4,937.35,940.5,938.6,937.49,1008.7,796,9560455,8962808080,160920,ICICIBANK
2023-11-09,EQ,934,942.35,933,935.75,936.5,937.35,938.01,1008.7,796,9406117,8823005431.45,207920,ICICIBANK
2023-11-08,EQ,948.45,948.45,934.1,948.1,935.7,935.75,936.99,1008.7,796,17606074,16496734862.35,441034,ICICIBANK
2023-11-07,EQ,943.6,950.45,930.45,945.45,948.35,948.1,938.19,1008.7,796,15704942,14734190070.9,447032,ICICIBANK
2023-11-06,EQ,941,947.75,937.4,933.8,947.5,945.45,942.4,1008.7,796,10338367,9742886548.95,211428,ICICIBANK
2023-11-03,EQ,928.55,934.5,926.8,919.95,933,933.8,931.58,1008.7,796,7146961,6657998287.8,158826,ICICIBANK
2023-11-02,EQ,920.05,924.8,912.8,914.05,920.25,919.95,918.74,1008.7,796,9747311,8955253577.45,209580,ICICIBANK
2023-11-01,EQ,913.8,917.6,909.3,915.35,914.45,914.05,913.35,1008.7,796,12927203,11807026467.3,258010,ICICIBANK
2023-10-31,EQ,929.3,931,914.1,924.9,916.3,915.35,920.82,1008.7,796,17211107,15848409572.2,294816,ICICIBANK
2023-10-30,EQ,909.1,926.3,908.2,912.75,924.25,924.9,919.45,1008.7,796,7687791,7068566838.35,218361,ICICIBANK
2023-10-27,EQ,916,918.15,911.3,908.65,914,912.75,913.92,1008.7,796,8645505,7901304895.55,247992,ICICIBANK
2023-10-26,EQ,914.3,916.6,899,916.1,910,908.65,905.65,1008.7,796,21693345,19646681777.2,401566,ICICIBANK
2023-10-25,EQ,926.05,933.8,911.4,929.95,917.4,916.1,921.17,1008.7,796,12593434,11600643622.95,366568,ICICIBANK
2023-10-23,EQ,942,944.8,925.4,932.75,931.1,929.95,938.81,1008.7,796,11856890,11131359569.6,280316,ICICIBANK
2023-10-20,EQ,932,940,930,935.75,934,932.75,934.41,1008.7,796,6586576,6154589020.6,211005,ICICIBANK
2023-10-19,EQ,936,945,934,943.75,934.85,935.75,938.38,1008.7,796,8612676,8081944861.8,224163,ICICIBANK
2023-10-18,EQ,949.2,950.65,939.1,953.9,943.5,943.75,944.12,1008.7,796,12000153,11329585673.05,265905,ICICIBANK
2023-10-17,EQ,955.4,960.95,951.5,951.4,954.5,953.9,955.05,1008.7,796,7747527,7399301380.75,171383,ICICIBANK
