DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-14,EQ,798,815.8,796.55,812.65,813.4,813.25,805.17,895.75,649.05,1546826,1245456241.05,75235,JSWSTEEL
2024-02-13,EQ,812.95,814.7,790.55,811.5,813,812.65,805.41,895.75,649.05,1675844,1349743968.3,67142,JSWSTEEL
2024-02-12,EQ,818,819.6,802.45,811.75,808.25,811.5,811.17,895.75,649.05,1408603,1142622242.9,62996,JSWSTEEL
2024-02-09,EQ,824.9,825,800.45,822.1,811.8,811.75,810.33,895.75,649.05,1396058,1131263341.15,80900,JSWSTEEL
2024-02-08,EQ,841.45,841.45,818,836.6,822,822.1,827.81,895.75,649.05,2294805,1899658963.8,117829,JSWSTEEL
2024-02-07,EQ,827.4,842.9,823,818.75,836.5,836.6,834.71,895.75,649.05,3647454,3044570216.35,114765,JSWSTEEL
2024-02-06,EQ,814.65,820.75,805.1,814.65,819,818.75,812.79,895.75,649.05,1547506,1257797223.6,68087,JSWSTEEL
2024-02-05,EQ,824.15,834,811,823.55,812.85,814.65,821.31,895.75,649.05,2056107,1688705310.3,84150,JSWSTEEL
2024-02-02,EQ,809.25,826.3,805.1,801.7,823.3,823.55,817.18,895.75,649.05,2871131,2346241541.8,162444,JSWSTEEL
2024-02-01,EQ,822,822,800.1,818.65,803.2,801.7,807.93,895.75,649.05,2287350,1848007563.45,123594,JSWSTEEL
2024-01-31,EQ,812,822,808.05,812,816,818.65,815.66,895.75,649.05,1954023,1593819325.45,79567,JSWSTEEL
2024-01-30,EQ,818,829.35,810.15,811.7,812,812,821.34,895.75,649.05,1892910,1554727992.7,91157,JSWSTEEL
2024-01-29,EQ,819.05,823.6,804,815.7,812.6,811.7,813.06,895.75,649.05,1574830,1280427983.5,66276,JSWSTEEL
2024-01-25,EQ,815,821,792.8,812.2,818.5,815.7,811.44,895.75,649.05,3240065,2629127120.6,99924,JSWSTEEL
2024-01-24,EQ,795,814,784,790.4,809.1,812.2,800.54,895.75,649.05,1490515,1193216657.15,86219,JSWSTEEL
2024-01-23,EQ,808.25,816,788.45,808.2,788.45,790.4,798.01,895.75,649.05,1533222,1223520813,79792,JSWSTEEL
2024-01-20,EQ,822,822.8,806.2,816.65,806.7,808.2,811.79,895.75,649.05,506539,411204966.35,25396,JSWSTEEL
2024-01-19,EQ,805.25,820.7,805.25,803.65,818.25,816.65,815.03,895.75,649.05,1358166,1106940829.7,93175,JSWSTEEL
2024-01-18,EQ,812.5,814.5,792.6,812.65,804.55,803.65,802.28,895.75,649.05,1991900,1598056277.65,103831,JSWSTEEL
