DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-14,EQ,479.2,482.4,472.25,479.1,481.95,481.4,479.22,780,452.15,3210526,1538532898.45,56389,UPL
2024-02-13,EQ,462.05,479.95,452.15,458.4,479.2,479.1,471.63,780,452.15,7706461,3634619853.6,107234,UPL
2024-02-12,EQ,461.8,465.8,455.05,457.95,459,458.4,460.48,780,453.3,4404671,2028248821.3,83352,UPL
2024-02-09,EQ,467.9,467.9,453.3,464.85,459.7,457.95,457.48,780,453.3,5881661,2690745867.9,113761,UPL
2024-02-08,EQ,480,481.8,463.55,477.8,464.8,464.85,469.71,780,463.55,5214678,2449379830.1,129879,UPL
2024-02-07,EQ,484,485,477.25,481.85,477.7,477.8,479.66,780,468.3,3069307,1472209173.45,102518,UPL
2024-02-06,EQ,476.2,486,468.3,474,483.9,481.85,479.44,780,468.3,6661787,3193900396.25,121019,UPL
2024-02-05,EQ,524,525,470.05,533.65,475.4,474,491.21,780,470.05,23096694,11345296960,354405,UPL
2024-02-02,EQ,533.9,540.65,529.25,530.05,533,533.65,535.09,780,526.5,4224992,2260730293.15,84049,UPL
2024-02-01,EQ,536.3,539,526.5,537.7,530.35,530.05,532.95,780,526.5,3662000,1951654930.5,96614,UPL
2024-01-31,EQ,538.9,542.75,534.1,535.25,538.25,537.7,536.91,780,528.15,3570913,1917268711.55,68879,UPL
2024-01-30,EQ,541.9,547.5,534.4,539.65,535,535.25,541.11,780,528.15,1912294,1034760079.3,43010,UPL
2024-01-29,EQ,542.2,542.7,534.4,537.3,541,539.65,539.13,780,528.15,2162690,1165963868.05,43615,UPL
2024-01-25,EQ,545.75,547.6,536,545.75,537.6,537.3,539.14,780,528.15,1723625,929274120.9,53425,UPL
2024-01-24,EQ,539.9,547,535.1,535.1,545.5,545.75,541.73,780,528.15,1386191,750947690.4,33545,UPL
2024-01-23,EQ,558.45,558.45,533.55,552.45,535,535.1,543.54,780,528.15,2849229,1548668097.35,67776,UPL
2024-01-20,EQ,556.95,557.4,551.6,553.4,552.25,552.45,553.44,780,528.15,811281,448996617.7,19436,UPL
2024-01-19,EQ,549,557.2,542.75,544.2,554.1,553.4,551.85,780,528.15,2415540,1333022502.45,63841,UPL
2024-01-18,EQ,550,552,539.15,551,544.95,544.2,544.78,780,528.15,3512857,1913738868.95,89267,UPL
2024-01-17,EQ,561,562.5,549.6,564.5,551.75,551,554.24,780,528.15,4724845,2618689261.8,82510,UPL
2024-01-16,EQ,568,569.2,560.5,567.75,564.85,564.5,564.86,780,528.15,1653823,934180283.75,49013,UPL
2024-01-15,EQ,568,571.65,564.5,565.1,568.25,567.75,568.09,780,528.15,1659661,942831354.35,44356,UPL
2024-01-12,EQ,566.1,568.35,562.4,562.25,564.5,565.1,565.25,780,528.15,1441096,814582563.3,43495,UPL
2024-01-11,EQ,561.95,566.15,560.55,558.6,562.9,562.25,563.18,780,528.15,1620693,912743463.9,51397,UPL
2024-01-10,EQ,561,561.75,551.9,558.15,559.15,558.6,556.87,780,528.15,2204496,1227625260.5,58279,UPL
2024-01-09,EQ,566,567.95,553.25,560.9,557.9,558.15,559.91,780,528.15,3590645,2010449436.4,85696,UPL
2024-01-08,EQ,581,582.8,560.05,581.25,561.25,560.9,566.79,780,528.15,5345743,3029933762.25,106371,UPL
2024-01-05,EQ,589.3,590.95,576.5,587.65,581.85,581.25,583.5,780,528.15,2433275,1419824689,51620,UPL
2024-01-04,EQ,587,589.2,582.65,586.85,588,587.65,586.7,780,528.15,3606404,2115879524.85,54428,UPL
2024-01-03,EQ,595.35,596.8,585.3,594.45,586.95,586.85,589.49,780,528.15,2435233,1435541577.1,53369,UPL
2024-01-02,EQ,593,603.8,589.05,592.7,594.4,594.45,596.03,780,528.15,3406640,2030447349.9,68054,UPL
2024-01-01,EQ,588,599.9,587.2,587.25,592,592.7,595.67,780,528.15,2825708,1683187463.5,52899,UPL
2023-12-29,EQ,592,592,585.05,589.45,587.7,587.25,588.45,780,528.15,2223633,1308505035.65,38024,UPL
2023-12-28,EQ,585.9,591,582,583.2,590.5,589.45,586.42,780,528.15,2270681,1331575135.25,59734,UPL
2023-12-27,EQ,590.1,592.3,581.1,586.1,582.4,583.2,586.27,780,528.15,2155491,1263706939.55,64809,UPL
2023-12-26,EQ,587.9,595,585,581.65,587,586.1,588.75,780,528.15,3443852,2027560446.15,119724,UPL
2023-12-22,EQ,581,585.75,577.4,577.4,582.3,581.65,582.22,780,528.15,2464945,1435146895.8,80196,UPL
2023-12-21,EQ,572.15,579.95,565.7,572.15,578.85,577.4,575.25,780,528.15,3089260,1777095053.9,76876,UPL
