DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL,L14,H14,%K,%D,%K_%D_diff
2023-06-14,EQ,1745.0,1784.8,1737.0,1737.95,1780.0,1779.35,1764.93,1839.5,1276.6,811120,1431574038.95,36293,GRASIM,1708.95,1784.8,92.81476598549763,59.06797788944306,33.74678809605457
2023-06-26,EQ,2776.4,2859.0,2775.0,2776.4,2849.8,2851.25,2832.13,3026.0,2246.0,583691,1653090437.4,34239,HEROMOTOCO,2745.05,2862.0,90.80803762291576,47.0845009540285,43.72353666888726
2023-07-03,EQ,1750.0,1798.0,1736.1,1734.65,1795.0,1793.7,1776.67,1839.5,1331.6,1082940,1924029541.7,60242,GRASIM,1696.0,1798.0,95.78431372549025,62.33590599360313,33.44840773188712
2023-07-04,EQ,375.3,378.35,373.15,375.3,376.8,376.65,376.37,380.45,288.05,2695164,1014375356.5,42338,BPCL,355.65,379.95,86.41975308641972,68.84880783410553,17.57094525231419
2023-07-05,EQ,4647.95,4900.0,4633.0,4625.4,4900.0,4890.05,4794.41,4900.0,3461.25,891033,4271979613.05,62800,BAJAJ-AUTO,4588.05,4900.0,96.8103862798526,45.421384655530325,51.38900162432227
2023-07-10,EQ,112.25,115.7,111.65,111.6,115.25,115.3,114.48,976.7,95.0,60652690,6943815581.6,219509,TATASTEEL,110.4,115.7,92.45283018867913,61.532423704535894,30.920406484143236
2023-07-18,EQ,1158.95,1170.0,1146.4,1153.75,1165.3,1167.2,1160.62,1202.6,882.0,2431478,2822019054.7,149220,HCLTECH,1087.05,1172.0,94.34961742201301,73.83158142643795,20.51803599557506
2023-07-26,EQ,449.5,451.65,446.4,449.5,449.0,449.0,448.71,504.0,358.8,4218466,1892860301.35,85751,HINDALCO,431.5,451.65,86.8486352357321,57.5735333052146,29.2751019305175
2023-07-27,EQ,5146.75,5265.0,5144.2,5155.75,5225.0,5215.5,5209.35,5324.0,3987.85,363050,1891253996.5,27513,APOLLOHOSP,5125.05,5265.0,64.6302250803858,45.30039909022897,19.329825990156827
2023-08-01,EQ,230.0,241.3,228.95,229.25,241.2,240.35,237.59,263.4,205.75,22409256,5324314097.9,147516,COALINDIA,226.85,241.3,93.42560553633207,47.20247457271679,46.22313096361528
