Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","Percentage Upside","Price to Intrinsic Value Rank","1M Average Volume","Percentage Buy Reco’s","Fundamental Score","1D Return"
Oil India Ltd,OIL,"Oil & Gas - Exploration & Production","21974.2031189777","207.25","3.9088668444877537","24.602980698753964","100","957378.4545454546","81.25","6.75","1.2704617639872926"
Power Finance Corporation Ltd,PFC,"Specialized Finance","35515.9193630061","138.5","2.5341742090324666","32.45033112582781","100","8233849.7272727275","100","6.66363636363636","1.9131714495952863"
REC Ltd,RECLTD,"Specialized Finance","29015.301354520398","110.95","2.8912085210319556","22.448979591836736","100","11017511.636363637","100","5.75454545454545","0.5437245129134649"
Filatex India Ltd,FILATEX,"Textiles","2104.25110159301","97.15","6.951376239942548","76.47058823529412","99","167619.5909090909","100","7.3827868852459","2.0483193277310954"
Manappuram Finance Ltd,MANAPPURAM,"Consumer Finance","9652.04364764815","116.35","7.265643153786854","26.35692574902301","98","8889403.727272727","86.66666666666667","5.98260869565217","1.0421189752496645"
Ashoka Buildcon Ltd,ASHOKA,"Construction & Engineering","2177.21208376604","81.15","2.7964602391158557","63.831127914303735","97","932478","100","5.98333333333333","2.2684310018903737"
CESC Ltd,CESC,"Power Generation","9923.05293003548","74.9","7.30673156025499","35.08064516129031","97","1767519.2727272727","92.85714285714286","7.25","0.6720430107526881"
Indian Bank,INDIANB,"Public Banks","33932.022105255404","276.05","8.192558834242863","8.654926938928448","97","2491722.9545454546","90","7.04193548387097","3.4282502810041344"
Jammu and Kashmir Bank Ltd,J&KBANK,"Private Banks","4463.61360877426","45.85","9.020316887830939","9.40919037199124","97","11899892.863636363","100","5.33870967741935","0.3282275711159706"
JM Financial Ltd,JMFINANCIL,"Investment Banking & Brokerage","7228.4591492586305","75.95","9.34924097115556","51.983860121049105","97","2026032.5454545454","100","3.78333333333333","2.1519838601210606"
Jindal Stainless Ltd,JSL,"Iron & Steel","9183.22645995577","176.4","4.881423333274375","37.59355210132413","96","1620925.0909090908","100","5.4455223880597","1.5544041450777302"
Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,"Sugar","2865.29076286841","354.4","9.688874185467869","38.69232946504387","94","130801.54545454546","100","6.63507462686567","0.311350127370497"
IOL Chemicals and Pharmaceuticals Ltd,IOLCP,"Commodity Chemicals","2031.26484526111","346.3","12.114658825437536","58.095238095238095","93","177844.95454545456","100","8.00928571428571","1.4798534798534833"
PCBL Ltd,PCBL,"Commodity Chemicals","5191.024136501261","142.65","12.184930605373589","16.819141449683325","93","1252212.5","100","4.90178571428571","0.38705137227305514"
DCB Bank Ltd,DCBBANK,"Private Banks","3907.67782404671","136.85","13.590977406951573","6.529209621993137","92","3359324.3181818184","72.72727272727273","4.31612903225806","4.505536464299356"
Ircon International Ltd,IRCON,"Construction & Engineering","5799.7850868868","62.4","9.79131088038424","5.802047781569963","92","19008875.318181816","100","5.82301587301587","6.484641638225251"
Tinplate Company of India Ltd,TINPLATE,"Iron & Steel","3266.44652994236","326.6","9.255487164066531","51.64385716532954","92","199411.5","100","6.70522388059702","2.142298670836598"
Marksans Pharma Ltd,MARKSANS,"Pharmaceuticals","2430.70902175945","57.9","13.171005265561918","38.888888888888886","91","2449958.590909091","100","7.625","0.5208333333333284"
Surya Roshni Ltd,SURYAROSNI,"Iron & Steel","2531.8938773673804","466.65","12.355523508527115","57.555579422188806","91","232999.18181818182","100","4.51044776119403","0.23627966920845578"
Time Technoplast Ltd,TIMETECHNO,"Plastic Products","2141.56002752341","98.05","11.39067085539817","28.667009778692737","91","1131825.6363636365","100","4.85416666666667","0.926402470406579"
CSB Bank Ltd,CSBBANK,"Private Banks","3700.43636634943","219.85","8.07074452857018","33.760879523591385","90","259177.77272727274","100","6.86","0.7100320659642615"
Federal Bank Ltd,FEDERALBNK,"Private Banks","28258.463232609898","132.7","14.345999671338893","17.915557246101187","90","9837945.318181818","89.28571428571429","5.31935483870968","0.9509319132750096"
Indusind Bank Ltd,INDUSINDBK,"Private Banks","92826.6041352559","1173.9","19.318591340604026","19.883541702346296","89","2547345.3636363638","84.0909090909091","5.25","0.5223497174173777"
Engineers India Ltd,ENGINERSIN,"Construction & Engineering","4718.55506379933","82","33.81991874856162","12.149532710280374","88","6616236.7727272725","100","5.46984126984127","2.1806853582554515"
JMC Projects (India) Ltd,JMCPROJECT,"Construction & Engineering","2163.9444001484503","126.15","118.9634084743495","38.82163034705407","88","417899.63636363635","100","4.03730158730159","1.8159806295399514"
L&T Finance Holdings Ltd,L&TFH,"Diversified Financials","21980.6316577146","88.4","20.540534765318146","6.32183908045977","87","7898950.318181818","81.81818181818183","5","1.609195402298857"
Sharda Cropchem Ltd,SHARDACROP,"Fertilizers & Agro Chemicals","3642.90003007553","417.25","10.43003988340117","60.019396290459454","86","226878.5909090909","100","5.25294117647059","1.1637774275669805"
State Bank of India,SBIN,"Public Banks","542852.6495380361","608.1","15.346143808313835","18.682048302763707","85","13791906.181818182","95.23809523809524","5.48870967741936","0.9378371649099472"
Axis Bank Ltd,AXISBANK,"Private Banks","273949.73781153","903.85","19.402515127285437","16.50485436893204","84","9590432.045454545","95.1219512195122","4.67258064516129","0.28848821081831044"
Globus Spirits Ltd,GLOBUSSPR,"Alcoholic Beverages","2258.47480059967","851.5","12.05999252736513","20.65637065637066","84","145017.27272727274","100","6.9375","2.7388996138996196"
Equitas Holdings Ltd,EQUITAS,"Consumer Finance","3880.5967199669","121.1","25.331919315666106","32.747068676716914","83","1556502.9545454546","100","6.62391304347826","1.4237855946398563"
Moil Ltd,MOIL,"Mining - Manganese","3272.2733666277","161.65","8.680460956117726","18.633540372670808","82","167128.68181818182","100","5.21641791044776","0.4037267080745377"
Piramal Enterprises Ltd,PEL,"Diversified Financials","19478.2720130916","863.4","10.128527236139162","38.14390495241559","82","1172725","85.71428571428571","4.65909090909091","4.67357701400254"
Raymond Ltd,RAYMOND,"Apparel & Accessories","8850.426470425451","1369.65","33.995645964605636","19.56601422183125","82","510137.54545454547","100","3.30409836065574","0.4068616670332221"
Supriya Lifescience Ltd,SUPRIYA,"Pharmaceuticals","2016.99444187305","251.25","13.286308160681445","42.27309893704007","82","283810.1818181818","100","8.01357142857143","2.718724448078498"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","96509.5110070596","463.4","7.029097669851391","14.7104504104726","81","9645494.545454545","95","6.63125","2.817838917239847"
Birla Corporation Ltd,BIRLACORPN,"Cement","7190.64608327042","977.8","18.040206937631215","32.95940170940171","80","168090.68181818182","93.33333333333333","4.95810810810811","2.969671440606564"
Godfrey Phillips India Ltd,GODFRYPHLP,"FMCG - Tobacco","9052.611030851489","1817.65","20.665230860730226","13.687359760658188","80","227742.0909090909","100","6.16666666666667","0.7036205989085595"
Kolte-Patil Developers Ltd,KOLTEPATIL,"Real Estate","2352.93962753004","317.35","29.630268574865163","23.670865368885988","80","126869.31818181818","100","3.92142857142857","3.8279077376083905"
City Union Bank Ltd,CUB,"Private Banks","14040.6778478668","189.45","18.470687549814276","16.525423728813553","78","3441327.909090909","76.19047619047619","4.67741935483871","0.3442796610169371"
Quess Corp Ltd,QUESS,"Employment Services","6335.7918657402","441.5","26.265615893127443","71.38939670932358","77","364000.63636363635","75","7","0.8912248628884774"
Kaveri Seed Company Ltd,KSCL,"Seeds","2890.61239431524","512.6","13.604802533605875","19.741733515945995","76","138859.72727272726","100","6.04166666666667","0.29348464097045585"
Mahindra CIE Automotive Ltd,MAHINDCIE,"Auto Parts","11111.6676229409","287.65","28.28115964097965","31.70731707317073","76","374152.9090909091","85.71428571428571","5.02796610169491","1.1249780277728911"
Aurobindo Pharma Ltd,AUROPHARMA,"Pharmaceuticals","27368.7552230085","468.9","10.3350471925716","31.161594513501925","75","2589717.8636363638","75","5.24","0.331657216219098"
Birlasoft Ltd,BSOFT,"IT Services & Consulting","8165.930233054781","323.8","17.613032446249765","17.117117117117118","75","2999301","80","6.4","6.07698607698608"
Kalpataru Power Transmission Ltd,KALPATPOWR,"Power Infrastructure","7785.1494930279405","527.15","14.40893853975187","8.392276811317144","75","226229.22727272726","92.30769230769232","5.7452380952381","3.943606428078478"
Avanti Feeds Ltd,AVANTIFEED,"Packaged Foods & Meats","5257.54581298711","388.1","23.727528716432502","30.112972341254377","74","561323.4545454546","100","6.66417910447761","0.7921049214387771"
Cyient Ltd,CYIENT,"Software Services","8832.23175101692","862.1","16.910265653871182","9.518691030693903","74","239623.18181818182","76.47058823529412","4.07142857142857","2.9619013495760265"
F D C Ltd,FDC,"Pharmaceuticals","4797.96364110039","286.9","22.171735864604372","22.785476232239954","74","241519.4090909091","100","5.78571428571429","0.6490089457989706"
Aditya Birla Capital Ltd,ABCAPITAL,"Diversified Financials","33104.296476401505","145.7","19.404969885989484","6.63914688682491","73","6033541.363636363","100","7.93333333333333","0.24079807361540717"
Chemplast Sanmar Ltd,CHEMPLASTS,"Building Products - Pipes","6149.44449599344","435.3","9.48022769400525","102.78099652375434","73","217601.13636363635","100","4.71274509803922","12.089609887987637"
Gokaldas Exports Ltd,GOKEX,"Apparel & Accessories","2310.6854902620603","392.8","19.735953965340475","38.279932546374376","72","268769.13636363635","80","5.73529411764706","1.906862109222992"
Navneet Education Ltd,NAVNETEDUL,"Publishing","2840.80276766597","126.65","21.652460119405273","29.10891089108911","70","511478.2727272727","100","6.355","0.31683168316832133"
Angel One Ltd,ANGELONE,"Investment Banking & Brokerage","13142.6565937341","1609.7","21.034981744132676","26.306482680223557","70","320029.2727272727","100","5.51","0.7857746611151084"
