Name,Ticker,"Sub-Sector","Market Cap","PE Ratio","Percentage Upside","Value Momentum Rank"
State Bank of India,SBIN,"Public Banks","542852.6495380361","15.346143808313835","18.682048302763707","96"
Axis Bank Ltd,AXISBANK,"Private Banks","273949.73781153","19.402515127285437","16.50485436893204","94"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","175523.948846357","3.8557946959930134","22.962437987243096","96"
NTPC Ltd,NTPC,"Power Generation","165140.165599353","9.902923716222407","15.272938443670157","97"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","154281.73172931798","9.170297777488921","11.607142857142858","92"
Coal India Ltd,COALINDIA,"Mining - Coal","141572.275902126","8.155977664728624","19.03190319031903","99"
Indusind Bank Ltd,INDUSINDBK,"Private Banks","92826.6041352559","19.318591340604026","19.883541702346296","90"
Power Finance Corporation Ltd,PFC,"Specialized Finance","35515.9193630061","2.5341742090324666","32.45033112582781","100"
Shriram Transport Finance Company Ltd,SRTRANSFIN,"Consumer Finance","34195.1323313307","12.56665772346872","12.666666666666666","94"
Indian Bank,INDIANB,"Public Banks","33932.022105255404","8.192558834242863","8.654926938928448","98"
Aditya Birla Capital Ltd,ABCAPITAL,"Diversified Financials","33104.296476401505","19.404969885989484","6.63914688682491","93"
REC Ltd,RECLTD,"Specialized Finance","29015.301354520398","2.8912085210319556","22.448979591836736","100"
Federal Bank Ltd,FEDERALBNK,"Private Banks","28258.463232609898","14.345999671338893","17.915557246101187","97"
Coromandel International Ltd,COROMANDEL,"Fertilizers & Agro Chemicals","26994.3263086428","17.661127087815732","26.162947028771175","93"
General Insurance Corporation of India,GICRE,"Insurance","25617.6635338189","10.735442147711241","8.761329305135959","98"
L&T Finance Holdings Ltd,L&TFH,"Diversified Financials","21980.6316577146","20.540534765318146","6.32183908045977","91"
Oil India Ltd,OIL,"Oil & Gas - Exploration & Production","21974.2031189777","3.9088668444877537","24.602980698753964","97"
Redington (India) Ltd,REDINGTON,"Technology Hardware","14347.793064129199","11.21000153458379","14.174324700640485","90"
City Union Bank Ltd,CUB,"Private Banks","14040.6778478668","18.470687549814276","16.525423728813553","91"
National Aluminium Co Ltd,NATIONALUM,"Metals - Aluminium","13675.3689444276","4.633503628580105","7.792207792207792","96"
Mahindra CIE Automotive Ltd,MAHINDCIE,"Auto Parts","11111.6676229409","28.28115964097965","31.70731707317073","91"
E I D-Parry (India) Ltd,EIDPARRY,"Sugar","10838.968758946601","11.952591730474992","14.375830013280217","94"
Great Eastern Shipping Company Ltd,GESHIP,"Oil & Gas - Storage & Transportation","9886.17348718383","15.700313631025029","13.011376478565513","99"
Manappuram Finance Ltd,MANAPPURAM,"Consumer Finance","9652.04364764815","7.265643153786854","26.35692574902301","94"
KRBL Ltd,KRBL,"Packaged Foods & Meats","9289.93466011402","20.221886504384006","9.077687553023873","90"
Jindal Stainless Ltd,JSL,"Iron & Steel","9183.22645995577","4.881423333274375","37.59355210132413","96"
Godfrey Phillips India Ltd,GODFRYPHLP,"FMCG - Tobacco","9052.611030851489","20.665230860730226","13.687359760658188","95"
Raymond Ltd,RAYMOND,"Apparel & Accessories","8850.426470425451","33.995645964605636","19.56601422183125","93"
Karur Vysya Bank Ltd,KARURVYSYA,"Private Banks","8180.08015751088","12.150137627197747","14.82775836245631","99"
Kalpataru Power Transmission Ltd,KALPATPOWR,"Power Infrastructure","7785.1494930279405","14.40893853975187","8.392276811317144","92"
JK Paper Ltd,JKPAPER,"Paper Products","6885.7978759917605","12.690375739019101","7.215024367050998","95"
Polyplex Corp Ltd,POLYPLEX,"Commodity Chemicals","5599.05560456613","9.843454940254455","37.79845652355611","92"
NCC Ltd,NCC,"Construction & Engineering","5211.3933912600505","10.802830354387455","22.658610271903324","97"
Uflex Ltd,UFLEX,"Packaging","4421.35519168533","4.02585517890928","21.266968325791854","98"
CSB Bank Ltd,CSBBANK,"Private Banks","3700.43636634943","8.07074452857018","33.760879523591385","96"
