Name,Ticker,"Sub-Sector","Market Cap","PE Ratio","1D Return","Daily Volume","Price to Intrinsic Value Rank","% Price above 1M EMA"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","128067.9107428","3.1894240674026197","2.87970274036228","91702642","84","4.726636634364656"
Vedanta Ltd,VEDL,"Metals - Diversified","115119.04110548","6.122701899025636","1.9385575817315515","14208907","92","1.5140966133407208"
Tech Mahindra Ltd,TECHM,"IT Services & Consulting","104808.095482049","18.829718381281147","2.274837511606314","4264917","72","3.4903933781609497"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","96509.5110070596","7.029097669851391","2.817838917239847","13243436","81","6.6182746744246845"
Bank of Baroda Ltd,BANKBARODA,"Public Banks","86753.4956137284","11.051837157101541","3.308270676691729","32085764","94","5.892804613219127"
Canara Bank Ltd,CANBK,"Public Banks","58772.636618239194","9.595783174456681","1.970130282809021","9283193","99","3.975812196229156"
Punjab National Bank,PNB,"Public Banks","58766.430999918506","15.221545869423572","3.8011695906432807","106625627","94","11.554522439913729"
Indian Railway Finance Corp Ltd,IRFC,"Specialized Finance","43820.6836519948","7.1957154225971465","4.268292682926847","198522937","99","18.572078765682253"
Muthoot Finance Ltd,MUTHOOTFIN,"Consumer Finance","43734.4520931189","10.888398946653746","2.831367106176258","571530","81","3.2030654944565917"
Power Finance Corporation Ltd,PFC,"Specialized Finance","35515.9193630061","2.5341742090324666","1.9131714495952863","6874203","100","10.027367223517668"
Indian Bank,INDIANB,"Public Banks","33932.022105255404","8.192558834242863","3.4282502810041344","2348990","97","4.904830710136254"
Steel Authority of India Ltd,SAIL,"Iron & Steel","33892.9308259339","2.768245507681558","1.1785503830288746","24779245","96","3.493403790073657"
Mahindra and Mahindra Financial Services Ltd,M&MFIN,"Consumer Finance","26444.6542414367","23.2609306617614","2.4651162790697727","3112520","79","4.276829685813244"
L&T Finance Holdings Ltd,L&TFH,"Diversified Financials","21980.6316577146","20.540534765318146","1.609195402298857","8499483","87","5.744230483409107"
Oil India Ltd,OIL,"Oil & Gas - Exploration & Production","21974.2031189777","3.9088668444877537","1.2704617639872926","754186","100","3.9300362268334332"
LIC Housing Finance Ltd,LICHSGFIN,"Home Financing","21468.1269100324","9.392569689161672","1.9141231246766623","2191564","92","2.3779565997360086"
Rail Vikas Nigam Ltd,RVNL,"Specialized Finance","16691.8104685271","14.113428259752839","1.282051282051286","64056280","85","20.523244366477723"
National Aluminium Co Ltd,NATIONALUM,"Metals - Aluminium","13675.3689444276","4.633503628580105","1.2987012987012987","17910379","95","4.368297333151916"
Manappuram Finance Ltd,MANAPPURAM,"Consumer Finance","9652.04364764815","7.265643153786854","1.0421189752496645","5746700","98","4.313976974111311"
KRBL Ltd,KRBL,"Packaged Foods & Meats","9289.93466011402","20.221886504384006","5.175130287237901","2753006","82","8.725560962388013"
Jindal Stainless Ltd,JSL,"Iron & Steel","9183.22645995577","4.881423333274375","1.5544041450777302","1322053","96","5.913516201730817"
Cyient Ltd,CYIENT,"Software Services","8832.23175101692","16.910265653871182","2.9619013495760265","539574","74","7.980076560374338"
Birlasoft Ltd,BSOFT,"IT Services & Consulting","8165.930233054781","17.613032446249765","6.07698607698608","14224521","75","11.752831222077864"
Kalpataru Power Transmission Ltd,KALPATPOWR,"Power Infrastructure","7785.1494930279405","14.40893853975187","3.943606428078478","215175","75","5.324596876475041"
Firstsource Solutions Ltd,FSL,"Outsourced services","7422.49326600242","13.812630526457404","2.2292993630573146","5714772","77","4.677256400075103"
JM Financial Ltd,JMFINANCIL,"Investment Banking & Brokerage","7228.4591492586305","9.34924097115556","2.1519838601210606","3566328","97","4.555460387970989"
Triveni Engineering and Industries Ltd,TRIVENI,"Sugar","7226.91186344817","17.042593711704264","1.9793605142953699","636777","77","6.766134622135622"
Birla Corporation Ltd,BIRLACORPN,"Cement","7190.64608327042","18.040206937631215","2.969671440606564","256910","80","3.2819392078105913"
Chemplast Sanmar Ltd,CHEMPLASTS,"Building Products - Pipes","6149.44449599344","9.48022769400525","12.089609887987637","1924573","73","10.694363040274979"
Gujarat Ambuja Exports Ltd,GAEL,"Agro Products","5308.48020642948","11.16540511195834","4.305069930069927","1687164","88","0.6074199639308109"
Mastek Ltd,MASTEK,"IT Services & Consulting","4996.86922694351","16.931078599069927","4.918080748976007","303528","83","7.520660004135049"
Zensar Technologies Ltd,ZENSARTECH,"IT Services & Consulting","4990.95230177498","11.988835699675642","2.46747420367878","3036732","85","4.403091063647868"
Engineers India Ltd,ENGINERSIN,"Construction & Engineering","4718.55506379933","33.81991874856162","2.1806853582554515","4328657","88","6.588394889597837"
Sharda Cropchem Ltd,SHARDACROP,"Fertilizers & Agro Chemicals","3642.90003007553","10.43003988340117","1.1637774275669805","115551","86","3.244314995411268"
